country,iso_code,total_vaccinations,Lat,Long
North Macedonia,MKD,128128280,41.6086,21.7453
Northern Cyprus,OWID_CYN,6088758,,
Northern Ireland,OWID_NIR,953157405,,
Norway,NOR,2560999408,60.472,8.4689
Oman,OMN,139430382,21,57
Pakistan,PAK,15677886338,30.3753,69.3451
Palestine,PSE,193711195,,
Panama,PAN,251726034,8.538,-80.7821
Papua New Guinea,PNG,9997902,-6.315,143.9555
Paraguay,PRY,423464599,-23.4425,-58.4438
Peru,PER,10520125027,-9.19,-75.0152
Philippines,PHL,8736435778,13,122
Pitcairn,PCN,348,,
Poland,POL,11131817028,51.9194,19.1451
Portugal,PRT,3794914767,39.3999,-8.2245
Qatar,QAT,1358902402,25.3548,51.1839
Romania,ROU,4238875187,45.9432,24.9668
Russia,RUS,28384562707,60,90
Rwanda,RWA,204740103,-1.9403,29.8739
Saint Helena,SHN,24233,,
Saint Kitts and Nevis,KNA,2999002,,
Saint Lucia,LCA,12874687,13.9094,-60.9789
Saint Vincent and the Grenadines,VCT,4348566,12.9843,-61.2872
Samoa,WSM,5115019,,
San Marino,SMR,3863380,43.9424,12.4578
Sao Tome and Principe,STP,2690169,,
Saudi Arabia,SAU,11456838033,24,45
Scotland,OWID_SCT,2995364072,,
Senegal,SEN,62562518,14.4974,-14.4524
Serbia,SRB,1093215957,44.0165,21.0059
Seychelles,SYC,8319724,-4.6796,55.492
Sierra Leone,SLE,16243279,,
Singapore,SGP,3164195328,1.2833,103.8333
Sint Maarten (Dutch part),SXM,2096270,,
Slovakia,SVK,254729712,48.669,19.699
Slovenia,SVN,736766851,46.1512,14.9955
Solomon Islands,SLB,4853407,,
Somalia,SOM,32208616,5.1521,46.1996
South Africa,ZAF,4133433811,-30.5595,22.9375
South Korea,KOR,21831406035,,
South Sudan,SSD,6021857,,
Spain,ESP,13863240572,40,-4
Sri Lanka,LKA,6644313808,7,81
Sudan,SDN,46008871,12.8628,30.2176
Suriname,SUR,69986069,-20,30
Sweden,SWE,741237578,63,16
Switzerland,CHE,3695330150,46.8182,8.2275
Syria,SYR,38980975,34.8021,38.9968
Taiwan,TWN,5591280901,23.7,121
Tajikistan,TJK,171225805,,
Tanzania,TZA,26064182,-6.369,34.8888
Thailand,THA,20018354320,15,101
Timor,TLS,31418464,-8.8742,125.7275
Togo,TGO,40463126,8.6195,0.8248
Tokelau,TKL,3857,,
Tonga,TON,1974092,,
Trinidad and Tobago,TTO,316754503,10.6918,-61.2225
Tunisia,TUN,2041177133,34,9
Turkey,TUR,33923100933,38.9637,35.2433
Turkmenistan,TKM,15213698,,
Turks and Caicos Islands,TCA,1016487,,
Tuvalu,TUV,51528,,
Uganda,UGA,226304447,1,32
Ukraine,UKR,4357666978,48.3794,31.1656
United Arab Emirates,ARE,5469038086,24,54
United Kingdom,GBR,36851641768,49.3723,-2.3644
United States,USA,1.55E+11,47.4009,-121.4905
Uruguay,URY,1979930902,-32.5228,-55.7658
Uzbekistan,UZB,2796712521,41.3775,64.5853
Vanuatu,VUT,2225477,,
Venezuela,VEN,422856844,6.4238,-66.5897
Vietnam,VNM,17914499152,16,108
Wales,OWID_WLS,1810193186,,
Wallis and Futuna,WLF,365717,,
Yemen,YEM,10546907,,
Zambia,ZMB,202357387,-15.4167,28.2833
Zimbabwe,ZWE,1589014934,-20,30
